job_id,run_name,status,classifier,model,model_name,input_mode,unfreeze_layers,head_type,loss_name,epochs,pooling,encoder_lr,classifier_lr,data_source,split_regime,uses_fixed_test_csv,train_size,val_size,test_size,val_macro_f1,test_loss,test_macro_f1,test_accuracy,best_epoch,start_phase,use_time_of_tweet,use_age_of_user,use_country,label,log_path,command
539876,bert_linear,complete,linear,bert,bert-base-uncased,,,,,,auto,2e-5,1e-4,,fixed_test_csv,1,23358,4122,,0.6589,,0.6586,0.6565,,1,,,,bert | linear,/home/k/kimsh/cs4248/project/results/slurm_new_539876.log,python -u run_all.py --classifier linear --model bert --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --run_name bert_linear --start_phase 1
539884,distilbert_linear,complete,linear,distilbert,distilbert-base-uncased,,,,,,auto,2e-5,1e-4,,fixed_test_csv,1,23358,4122,,0.6559,,0.6670,0.6661,,1,,,,distilbert | linear,/home/k/kimsh/cs4248/project/results/slurm_new_539884.log,python -u run_all.py --classifier linear --model distilbert --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --run_name distilbert_linear --start_phase 1
539886,roberta_linear,complete,linear,roberta,roberta-base,,,,,,auto,2e-5,1e-4,,fixed_test_csv,1,23358,4122,,0.5641,,0.5578,0.5798,,1,,,,roberta | linear,/home/k/kimsh/cs4248/project/results/slurm_new_539886.log,python -u run_all.py --classifier linear --model roberta --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --run_name roberta_linear --start_phase 1
539891,bertweet_linear,complete,linear,bertweet,vinai/bertweet-base,,,,,,auto,2e-5,1e-4,,fixed_test_csv,1,23358,4122,,0.6078,,0.5947,0.5996,,1,,,,bertweet | linear,/home/k/kimsh/cs4248/project/results/slurm_new_539891.log,python -u run_all.py --classifier linear --model bertweet --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --run_name bertweet_linear --start_phase 1
539892,finbert_linear,complete,linear,finbert,ProsusAI/finbert,,,,,,auto,2e-5,1e-4,,fixed_test_csv,1,23358,4122,,0.6941,,0.7022,0.6986,,1,,,,finbert | linear,/home/k/kimsh/cs4248/project/results/slurm_new_539892.log,python -u run_all.py --classifier linear --model finbert --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --run_name finbert_linear --start_phase 1
539905,bert_u4_mlp_ce_std,complete,transformer,bert,bert-base-uncased,text,4,mlp,cross_entropy,5,auto,2e-5,1e-4,cache_tokens,fixed_test_csv,1,23358,4122,3534,0.7750,0.5215,0.7725,0.7699,2,1,,,,bert | text | L4 | mlp | cross_entropy,/home/k/kimsh/cs4248/project/results/slurm_new_539905.log,python -u run_all.py --classifier transformer --model bert --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --run_name bert_u4_mlp_ce_std --epochs 5 --unfreeze_layers 4 --input_mode text --head_type mlp --hidden_dim 0 --loss_name cross_entropy --focal_gamma 1.5 --patience 2 --label_smoothing 0.0 --grad_clip_norm 1.0 --start_phase 1
539921,distilbert_u4_mlp_ce_std,complete,transformer,distilbert,distilbert-base-uncased,text,4,mlp,cross_entropy,5,auto,2e-5,1e-4,cache_tokens,fixed_test_csv,1,23358,4122,3534,0.7840,0.5661,0.7839,0.7810,4,1,,,,distilbert | text | L4 | mlp | cross_entropy,/home/k/kimsh/cs4248/project/results/slurm_new_539921.log,python -u run_all.py --classifier transformer --model distilbert --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --run_name distilbert_u4_mlp_ce_std --epochs 5 --unfreeze_layers 4 --input_mode text --head_type mlp --hidden_dim 0 --loss_name cross_entropy --focal_gamma 1.5 --patience 2 --label_smoothing 0.0 --grad_clip_norm 1.0 --start_phase 1
539944,roberta_u4_mlp_ce_std,complete,transformer,roberta,roberta-base,text,4,mlp,cross_entropy,5,auto,2e-5,1e-4,cache_tokens,fixed_test_csv,1,23358,4122,3534,0.7799,0.5305,0.7813,0.7779,3,1,,,,roberta | text | L4 | mlp | cross_entropy,/home/k/kimsh/cs4248/project/results/slurm_new_539944.log,python -u run_all.py --classifier transformer --model roberta --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --run_name roberta_u4_mlp_ce_std --epochs 5 --unfreeze_layers 4 --input_mode text --head_type mlp --hidden_dim 0 --loss_name cross_entropy --focal_gamma 1.5 --patience 2 --label_smoothing 0.0 --grad_clip_norm 1.0 --start_phase 1
539953,bertweet_u4_mlp_ce_std,complete,transformer,bertweet,vinai/bertweet-base,text,4,mlp,cross_entropy,5,auto,2e-5,1e-4,cache_tokens,fixed_test_csv,1,23358,4122,3534,0.7909,0.5282,0.7833,0.7799,5,1,,,,bertweet | text | L4 | mlp | cross_entropy,/home/k/kimsh/cs4248/project/results/slurm_new_539953.log,python -u run_all.py --classifier transformer --model bertweet --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --run_name bertweet_u4_mlp_ce_std --epochs 5 --unfreeze_layers 4 --input_mode text --head_type mlp --hidden_dim 0 --loss_name cross_entropy --focal_gamma 1.5 --patience 2 --label_smoothing 0.0 --grad_clip_norm 1.0 --start_phase 1
539963,finbert_u4_mlp_ce_std,complete,transformer,finbert,ProsusAI/finbert,text,4,mlp,cross_entropy,5,auto,2e-5,1e-4,cache_tokens,fixed_test_csv,1,23358,4122,3534,0.7637,0.5403,0.7745,0.7711,3,1,,,,finbert | text | L4 | mlp | cross_entropy,/home/k/kimsh/cs4248/project/results/slurm_new_539963.log,python -u run_all.py --classifier transformer --model finbert --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --run_name finbert_u4_mlp_ce_std --epochs 5 --unfreeze_layers 4 --input_mode text --head_type mlp --hidden_dim 0 --loss_name cross_entropy --focal_gamma 1.5 --patience 2 --label_smoothing 0.0 --grad_clip_norm 1.0 --start_phase 1
539970,qwen2_u4_mlp_ce_std,incomplete,transformer,qwen2,Qwen/Qwen2.5-0.5B,text,4,mlp,cross_entropy,5,auto,2e-5,1e-4,cache_tokens,fixed_test_csv,1,23358,4122,3534,,,,,,1,,,,qwen2 | text | L4 | mlp | cross_entropy,/home/k/kimsh/cs4248/project/results/slurm_new_539970.log,python -u run_all.py --classifier transformer --model qwen2 --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --run_name qwen2_u4_mlp_ce_std --epochs 5 --unfreeze_layers 4 --input_mode text --head_type mlp --hidden_dim 0 --loss_name cross_entropy --focal_gamma 1.5 --patience 2 --label_smoothing 0.0 --grad_clip_norm 1.0 --start_phase 1
539972,tinyllama_u4_mlp_ce_std,incomplete,transformer,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,text,4,mlp,cross_entropy,5,auto,2e-5,1e-4,cache_tokens,fixed_test_csv,1,23358,4122,3534,,,,,,1,,,,tinyllama | text | L4 | mlp | cross_entropy,/home/k/kimsh/cs4248/project/results/slurm_new_539972.log,python -u run_all.py --classifier transformer --model tinyllama --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --run_name tinyllama_u4_mlp_ce_std --epochs 5 --unfreeze_layers 4 --input_mode text --head_type mlp --hidden_dim 0 --loss_name cross_entropy --focal_gamma 1.5 --patience 2 --label_smoothing 0.0 --grad_clip_norm 1.0 --start_phase 1
539973,bert_u0_mlp_ce_std,complete,transformer,bert,bert-base-uncased,text,0,mlp,cross_entropy,5,auto,2e-5,1e-4,cache_tokens,fixed_test_csv,1,23358,4122,3534,0.6551,0.7596,0.6629,0.6607,2,1,,,,bert | text | L0 | mlp | cross_entropy,/home/k/kimsh/cs4248/project/results/slurm_new_539973.log,python -u run_all.py --classifier transformer --model bert --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --run_name bert_u0_mlp_ce_std --epochs 5 --unfreeze_layers 0 --input_mode text --head_type mlp --hidden_dim 0 --loss_name cross_entropy --focal_gamma 1.5 --patience 2 --label_smoothing 0.0 --grad_clip_norm 1.0 --start_phase 1
539982,bert_u2_mlp_ce_std,complete,transformer,bert,bert-base-uncased,text,2,mlp,cross_entropy,5,auto,2e-5,1e-4,cache_tokens,fixed_test_csv,1,23358,4122,3534,0.7640,0.5391,0.7682,0.7654,5,1,,,,bert | text | L2 | mlp | cross_entropy,/home/k/kimsh/cs4248/project/results/slurm_new_539982.log,python -u run_all.py --classifier transformer --model bert --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --run_name bert_u2_mlp_ce_std --epochs 5 --unfreeze_layers 2 --input_mode text --head_type mlp --hidden_dim 0 --loss_name cross_entropy --focal_gamma 1.5 --patience 2 --label_smoothing 0.0 --grad_clip_norm 1.0 --start_phase 1
539996,bert_u12_mlp_ce_std,complete,transformer,bert,bert-base-uncased,text,12,mlp,cross_entropy,5,auto,2e-5,1e-4,cache_tokens,fixed_test_csv,1,23358,4122,3534,0.7941,0.5675,0.7902,0.7872,3,1,,,,bert | text | L12 | mlp | cross_entropy,/home/k/kimsh/cs4248/project/results/slurm_new_539996.log,python -u run_all.py --classifier transformer --model bert --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --run_name bert_u12_mlp_ce_std --epochs 5 --unfreeze_layers 12 --input_mode text --head_type mlp --hidden_dim 0 --loss_name cross_entropy --focal_gamma 1.5 --patience 2 --label_smoothing 0.0 --grad_clip_norm 1.0 --start_phase 1
540010,bertweet_u0_mlp_ce_std,complete,transformer,bertweet,vinai/bertweet-base,text,0,mlp,cross_entropy,5,auto,2e-5,1e-4,cache_tokens,fixed_test_csv,1,23358,4122,3534,0.6424,0.8184,0.6361,0.6341,4,1,,,,bertweet | text | L0 | mlp | cross_entropy,/home/k/kimsh/cs4248/project/results/slurm_new_540010.log,python -u run_all.py --classifier transformer --model bertweet --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --run_name bertweet_u0_mlp_ce_std --epochs 5 --unfreeze_layers 0 --input_mode text --head_type mlp --hidden_dim 0 --loss_name cross_entropy --focal_gamma 1.5 --patience 2 --label_smoothing 0.0 --grad_clip_norm 1.0 --start_phase 1
540013,bertweet_u2_mlp_ce_std,complete,transformer,bertweet,vinai/bertweet-base,text,2,mlp,cross_entropy,5,auto,2e-5,1e-4,cache_tokens,fixed_test_csv,1,23358,4122,3534,0.7752,0.5239,0.7748,0.7716,5,1,,,,bertweet | text | L2 | mlp | cross_entropy,/home/k/kimsh/cs4248/project/results/slurm_new_540013.log,python -u run_all.py --classifier transformer --model bertweet --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --run_name bertweet_u2_mlp_ce_std --epochs 5 --unfreeze_layers 2 --input_mode text --head_type mlp --hidden_dim 0 --loss_name cross_entropy --focal_gamma 1.5 --patience 2 --label_smoothing 0.0 --grad_clip_norm 1.0 --start_phase 1
