job_id	run_name	job_name	spec
552395	finbert_linear_raw_vader	sweep-finbert_linear_raw_vader	RUN_NAME=finbert_linear_raw_vader CLASSIFIER=linear MODEL=finbert START_PHASE=1 USE_VADER_FEATURES=1
552435	bert_u4_mlp_focal_std_raw_vader	sweep-bert_u4_mlp_focal_std_raw_vader	RUN_NAME=bert_u4_mlp_focal_std_raw_vader CLASSIFIER=transformer MODEL=bert START_PHASE=1 INPUT_MODE=text UNFREEZE_LAYERS=4 HEAD_TYPE=mlp LOSS_NAME=focal POOLING=auto ENCODER_LR=2e-5 CLASSIFIER_LR=1e-4 USE_VADER_FEATURES=1
552567	bertweet_u12_mlp_ce_std_raw_vader	sweep-bertweet_u12_mlp_ce_std_raw_vader	RUN_NAME=bertweet_u12_mlp_ce_std_raw_vader CLASSIFIER=transformer MODEL=bertweet START_PHASE=1 INPUT_MODE=text UNFREEZE_LAYERS=12 HEAD_TYPE=mlp LOSS_NAME=cross_entropy POOLING=auto ENCODER_LR=2e-5 CLASSIFIER_LR=1e-4 USE_VADER_FEATURES=1
552698	finbert_u12_mlp_ce_std_raw_vader	sweep-finbert_u12_mlp_ce_std_raw_vader	RUN_NAME=finbert_u12_mlp_ce_std_raw_vader CLASSIFIER=transformer MODEL=finbert START_PHASE=1 INPUT_MODE=text UNFREEZE_LAYERS=12 HEAD_TYPE=mlp LOSS_NAME=cross_entropy POOLING=auto ENCODER_LR=2e-5 CLASSIFIER_LR=1e-4 USE_VADER_FEATURES=1
552784	tinyllama_u12_mlp_ce_std_raw_vader	sweep-tinyllama_u12_mlp_ce_std_raw_vader	RUN_NAME=tinyllama_u12_mlp_ce_std_raw_vader CLASSIFIER=transformer MODEL=tinyllama START_PHASE=1 INPUT_MODE=text UNFREEZE_LAYERS=12 HEAD_TYPE=mlp LOSS_NAME=cross_entropy POOLING=auto ENCODER_LR=2e-5 CLASSIFIER_LR=1e-4 USE_VADER_FEATURES=1
552848	finbert_linear_raw_afinn	sweep-finbert_linear_raw_afinn	RUN_NAME=finbert_linear_raw_afinn CLASSIFIER=linear MODEL=finbert START_PHASE=1 USE_AFINN_FEATURES=1
552857	bert_u4_mlp_focal_std_raw_afinn	sweep-bert_u4_mlp_focal_std_raw_afinn	RUN_NAME=bert_u4_mlp_focal_std_raw_afinn CLASSIFIER=transformer MODEL=bert START_PHASE=1 INPUT_MODE=text UNFREEZE_LAYERS=4 HEAD_TYPE=mlp LOSS_NAME=focal POOLING=auto ENCODER_LR=2e-5 CLASSIFIER_LR=1e-4 USE_AFINN_FEATURES=1
552926	bertweet_u12_mlp_ce_std_raw_afinn	sweep-bertweet_u12_mlp_ce_std_raw_afinn	RUN_NAME=bertweet_u12_mlp_ce_std_raw_afinn CLASSIFIER=transformer MODEL=bertweet START_PHASE=1 INPUT_MODE=text UNFREEZE_LAYERS=12 HEAD_TYPE=mlp LOSS_NAME=cross_entropy POOLING=auto ENCODER_LR=2e-5 CLASSIFIER_LR=1e-4 USE_AFINN_FEATURES=1
552996	finbert_u12_mlp_ce_std_raw_afinn	sweep-finbert_u12_mlp_ce_std_raw_afinn	RUN_NAME=finbert_u12_mlp_ce_std_raw_afinn CLASSIFIER=transformer MODEL=finbert START_PHASE=1 INPUT_MODE=text UNFREEZE_LAYERS=12 HEAD_TYPE=mlp LOSS_NAME=cross_entropy POOLING=auto ENCODER_LR=2e-5 CLASSIFIER_LR=1e-4 USE_AFINN_FEATURES=1
553056	tinyllama_u12_mlp_ce_std_raw_afinn	sweep-tinyllama_u12_mlp_ce_std_raw_afinn	RUN_NAME=tinyllama_u12_mlp_ce_std_raw_afinn CLASSIFIER=transformer MODEL=tinyllama START_PHASE=1 INPUT_MODE=text UNFREEZE_LAYERS=12 HEAD_TYPE=mlp LOSS_NAME=cross_entropy POOLING=auto ENCODER_LR=2e-5 CLASSIFIER_LR=1e-4 USE_AFINN_FEATURES=1
