job_id	run_name	job_name	spec
539876	bert_linear	sweep-bert_linear	RUN_NAME=bert_linear CLASSIFIER=linear MODEL=bert START_PHASE=1
539884	distilbert_linear	sweep-distilbert_linear	RUN_NAME=distilbert_linear CLASSIFIER=linear MODEL=distilbert START_PHASE=1
539886	roberta_linear	sweep-roberta_linear	RUN_NAME=roberta_linear CLASSIFIER=linear MODEL=roberta START_PHASE=1
539891	bertweet_linear	sweep-bertweet_linear	RUN_NAME=bertweet_linear CLASSIFIER=linear MODEL=bertweet START_PHASE=1
539892	finbert_linear	sweep-finbert_linear	RUN_NAME=finbert_linear CLASSIFIER=linear MODEL=finbert START_PHASE=1
539905	bert_u4_mlp_ce_std	sweep-bert_u4_mlp_ce_std	RUN_NAME=bert_u4_mlp_ce_std CLASSIFIER=transformer MODEL=bert START_PHASE=1 INPUT_MODE=text UNFREEZE_LAYERS=4 HEAD_TYPE=mlp LOSS_NAME=cross_entropy POOLING=auto ENCODER_LR=2e-5 CLASSIFIER_LR=1e-4
539921	distilbert_u4_mlp_ce_std	sweep-distilbert_u4_mlp_ce_std	RUN_NAME=distilbert_u4_mlp_ce_std CLASSIFIER=transformer MODEL=distilbert START_PHASE=1 INPUT_MODE=text UNFREEZE_LAYERS=4 HEAD_TYPE=mlp LOSS_NAME=cross_entropy POOLING=auto ENCODER_LR=2e-5 CLASSIFIER_LR=1e-4
539944	roberta_u4_mlp_ce_std	sweep-roberta_u4_mlp_ce_std	RUN_NAME=roberta_u4_mlp_ce_std CLASSIFIER=transformer MODEL=roberta START_PHASE=1 INPUT_MODE=text UNFREEZE_LAYERS=4 HEAD_TYPE=mlp LOSS_NAME=cross_entropy POOLING=auto ENCODER_LR=2e-5 CLASSIFIER_LR=1e-4
539953	bertweet_u4_mlp_ce_std	sweep-bertweet_u4_mlp_ce_std	RUN_NAME=bertweet_u4_mlp_ce_std CLASSIFIER=transformer MODEL=bertweet START_PHASE=1 INPUT_MODE=text UNFREEZE_LAYERS=4 HEAD_TYPE=mlp LOSS_NAME=cross_entropy POOLING=auto ENCODER_LR=2e-5 CLASSIFIER_LR=1e-4
539963	finbert_u4_mlp_ce_std	sweep-finbert_u4_mlp_ce_std	RUN_NAME=finbert_u4_mlp_ce_std CLASSIFIER=transformer MODEL=finbert START_PHASE=1 INPUT_MODE=text UNFREEZE_LAYERS=4 HEAD_TYPE=mlp LOSS_NAME=cross_entropy POOLING=auto ENCODER_LR=2e-5 CLASSIFIER_LR=1e-4
539970	qwen2_u4_mlp_ce_std	sweep-qwen2_u4_mlp_ce_std	RUN_NAME=qwen2_u4_mlp_ce_std CLASSIFIER=transformer MODEL=qwen2 START_PHASE=1 INPUT_MODE=text UNFREEZE_LAYERS=4 HEAD_TYPE=mlp LOSS_NAME=cross_entropy POOLING=auto ENCODER_LR=2e-5 CLASSIFIER_LR=1e-4
539972	tinyllama_u4_mlp_ce_std	sweep-tinyllama_u4_mlp_ce_std	RUN_NAME=tinyllama_u4_mlp_ce_std CLASSIFIER=transformer MODEL=tinyllama START_PHASE=1 INPUT_MODE=text UNFREEZE_LAYERS=4 HEAD_TYPE=mlp LOSS_NAME=cross_entropy POOLING=auto ENCODER_LR=2e-5 CLASSIFIER_LR=1e-4
539973	bert_u0_mlp_ce_std	sweep-bert_u0_mlp_ce_std	RUN_NAME=bert_u0_mlp_ce_std CLASSIFIER=transformer MODEL=bert START_PHASE=1 INPUT_MODE=text UNFREEZE_LAYERS=0 HEAD_TYPE=mlp LOSS_NAME=cross_entropy POOLING=auto ENCODER_LR=2e-5 CLASSIFIER_LR=1e-4
539982	bert_u2_mlp_ce_std	sweep-bert_u2_mlp_ce_std	RUN_NAME=bert_u2_mlp_ce_std CLASSIFIER=transformer MODEL=bert START_PHASE=1 INPUT_MODE=text UNFREEZE_LAYERS=2 HEAD_TYPE=mlp LOSS_NAME=cross_entropy POOLING=auto ENCODER_LR=2e-5 CLASSIFIER_LR=1e-4
539996	bert_u12_mlp_ce_std	sweep-bert_u12_mlp_ce_std	RUN_NAME=bert_u12_mlp_ce_std CLASSIFIER=transformer MODEL=bert START_PHASE=1 INPUT_MODE=text UNFREEZE_LAYERS=12 HEAD_TYPE=mlp LOSS_NAME=cross_entropy POOLING=auto ENCODER_LR=2e-5 CLASSIFIER_LR=1e-4
