job_id,run_name,status,classifier,model,model_name,input_mode,unfreeze_layers,head_type,loss_name,epochs,pooling,encoder_lr,classifier_lr,data_source,split_regime,uses_fixed_test_csv,train_size,val_size,test_size,val_macro_f1,test_loss,test_macro_f1,test_accuracy,best_epoch,start_phase,use_time_of_tweet,use_age_of_user,use_country,label,log_path,command
539894,qwen2_linear,incomplete,linear,qwen2,Qwen/Qwen2.5-0.5B,,,,,,auto,2e-5,1e-4,,fixed_test_csv,1,23358,4122,,,,,,,1,,,,qwen2 | linear,/home/k/kimsh/cs4248/project/results/slurm_new_539894.log,python -u run_all.py --classifier linear --model qwen2 --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --run_name qwen2_linear --start_phase 1
539900,tinyllama_linear,incomplete,linear,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,,,,,,auto,2e-5,1e-4,,fixed_test_csv,1,23358,4122,,,,,,,1,,,,tinyllama | linear,/home/k/kimsh/cs4248/project/results/slurm_new_539900.log,python -u run_all.py --classifier linear --model tinyllama --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --run_name tinyllama_linear --start_phase 1
539970,qwen2_u4_mlp_ce_std,incomplete,transformer,qwen2,Qwen/Qwen2.5-0.5B,text,4,mlp,cross_entropy,5,auto,2e-5,1e-4,cache_tokens,fixed_test_csv,1,23358,4122,3534,,,,,,1,,,,qwen2 | text | L4 | mlp | cross_entropy,/home/k/kimsh/cs4248/project/results/slurm_new_539970.log,python -u run_all.py --classifier transformer --model qwen2 --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --run_name qwen2_u4_mlp_ce_std --epochs 5 --unfreeze_layers 4 --input_mode text --head_type mlp --hidden_dim 0 --loss_name cross_entropy --focal_gamma 1.5 --patience 2 --label_smoothing 0.0 --grad_clip_norm 1.0 --start_phase 1
539972,tinyllama_u4_mlp_ce_std,incomplete,transformer,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,text,4,mlp,cross_entropy,5,auto,2e-5,1e-4,cache_tokens,fixed_test_csv,1,23358,4122,3534,,,,,,1,,,,tinyllama | text | L4 | mlp | cross_entropy,/home/k/kimsh/cs4248/project/results/slurm_new_539972.log,python -u run_all.py --classifier transformer --model tinyllama --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --run_name tinyllama_u4_mlp_ce_std --epochs 5 --unfreeze_layers 4 --input_mode text --head_type mlp --hidden_dim 0 --loss_name cross_entropy --focal_gamma 1.5 --patience 2 --label_smoothing 0.0 --grad_clip_norm 1.0 --start_phase 1
541185,qwen2_u0_mlp_ce_std,incomplete,transformer,qwen2,Qwen/Qwen2.5-0.5B,text,0,mlp,cross_entropy,5,auto,2e-5,1e-4,cache_tokens,fixed_test_csv,1,23358,4122,3534,,,,,,1,,,,qwen2 | text | L0 | mlp | cross_entropy,/home/k/kimsh/cs4248/project/results/slurm_new_541185.log,python -u run_all.py --classifier transformer --model qwen2 --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --run_name qwen2_u0_mlp_ce_std --epochs 5 --unfreeze_layers 0 --input_mode text --head_type mlp --hidden_dim 0 --loss_name cross_entropy --focal_gamma 1.5 --patience 2 --label_smoothing 0.0 --grad_clip_norm 1.0 --start_phase 1
541192,qwen2_u2_mlp_ce_std,incomplete,transformer,qwen2,Qwen/Qwen2.5-0.5B,text,2,mlp,cross_entropy,5,auto,2e-5,1e-4,cache_tokens,fixed_test_csv,1,23358,4122,3534,,,,,,1,,,,qwen2 | text | L2 | mlp | cross_entropy,/home/k/kimsh/cs4248/project/results/slurm_new_541192.log,python -u run_all.py --classifier transformer --model qwen2 --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --run_name qwen2_u2_mlp_ce_std --epochs 5 --unfreeze_layers 2 --input_mode text --head_type mlp --hidden_dim 0 --loss_name cross_entropy --focal_gamma 1.5 --patience 2 --label_smoothing 0.0 --grad_clip_norm 1.0 --start_phase 1
541200,qwen2_u12_mlp_ce_std,incomplete,transformer,qwen2,Qwen/Qwen2.5-0.5B,text,12,mlp,cross_entropy,5,auto,2e-5,1e-4,cache_tokens,fixed_test_csv,1,23358,4122,3534,,,,,,1,,,,qwen2 | text | L12 | mlp | cross_entropy,/home/k/kimsh/cs4248/project/results/slurm_new_541200.log,python -u run_all.py --classifier transformer --model qwen2 --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --run_name qwen2_u12_mlp_ce_std --epochs 5 --unfreeze_layers 12 --input_mode text --head_type mlp --hidden_dim 0 --loss_name cross_entropy --focal_gamma 1.5 --patience 2 --label_smoothing 0.0 --grad_clip_norm 1.0 --start_phase 1
541204,qwen2_u4_lin_ce_std,incomplete,transformer,qwen2,Qwen/Qwen2.5-0.5B,text,4,linear,cross_entropy,5,auto,2e-5,1e-4,cache_tokens,fixed_test_csv,1,23358,4122,3534,,,,,,1,,,,qwen2 | text | L4 | linear | cross_entropy,/home/k/kimsh/cs4248/project/results/slurm_new_541204.log,python -u run_all.py --classifier transformer --model qwen2 --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --run_name qwen2_u4_lin_ce_std --epochs 5 --unfreeze_layers 4 --input_mode text --head_type linear --hidden_dim 0 --loss_name cross_entropy --focal_gamma 1.5 --patience 2 --label_smoothing 0.0 --grad_clip_norm 1.0 --start_phase 1
541207,qwen2_u4_mlp_focal_std,incomplete,transformer,qwen2,Qwen/Qwen2.5-0.5B,text,4,mlp,focal,5,auto,2e-5,1e-4,cache_tokens,fixed_test_csv,1,23358,4122,3534,,,,,,1,,,,qwen2 | text | L4 | mlp | focal,/home/k/kimsh/cs4248/project/results/slurm_new_541207.log,python -u run_all.py --classifier transformer --model qwen2 --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --run_name qwen2_u4_mlp_focal_std --epochs 5 --unfreeze_layers 4 --input_mode text --head_type mlp --hidden_dim 0 --loss_name focal --focal_gamma 1.5 --patience 2 --label_smoothing 0.0 --grad_clip_norm 1.0 --start_phase 1
541208,qwen2_u4_mlp_ce_low,incomplete,transformer,qwen2,Qwen/Qwen2.5-0.5B,text,4,mlp,cross_entropy,5,auto,1e-5,5e-5,cache_tokens,fixed_test_csv,1,23358,4122,3534,,,,,,1,,,,qwen2 | text | L4 | mlp | cross_entropy,/home/k/kimsh/cs4248/project/results/slurm_new_541208.log,python -u run_all.py --classifier transformer --model qwen2 --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 1e-5 --classifier_lr 5e-5 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --run_name qwen2_u4_mlp_ce_low --epochs 5 --unfreeze_layers 4 --input_mode text --head_type mlp --hidden_dim 0 --loss_name cross_entropy --focal_gamma 1.5 --patience 2 --label_smoothing 0.0 --grad_clip_norm 1.0 --start_phase 1
541213,qwen2_u4_mlp_ce_std_mean,incomplete,transformer,qwen2,Qwen/Qwen2.5-0.5B,text,4,mlp,cross_entropy,5,mean,2e-5,1e-4,cache_tokens,fixed_test_csv,1,23358,4122,3534,,,,,,1,,,,qwen2 | text | L4 | mlp | cross_entropy,/home/k/kimsh/cs4248/project/results/slurm_new_541213.log,python -u run_all.py --classifier transformer --model qwen2 --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling mean --dropout 0.1 --run_name qwen2_u4_mlp_ce_std_mean --epochs 5 --unfreeze_layers 4 --input_mode text --head_type mlp --hidden_dim 0 --loss_name cross_entropy --focal_gamma 1.5 --patience 2 --label_smoothing 0.0 --grad_clip_norm 1.0 --start_phase 1
541216,tinyllama_u0_mlp_ce_std,incomplete,transformer,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,text,0,mlp,cross_entropy,5,auto,2e-5,1e-4,cache_tokens,fixed_test_csv,1,23358,4122,3534,,,,,,1,,,,tinyllama | text | L0 | mlp | cross_entropy,/home/k/kimsh/cs4248/project/results/slurm_new_541216.log,python -u run_all.py --classifier transformer --model tinyllama --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --run_name tinyllama_u0_mlp_ce_std --epochs 5 --unfreeze_layers 0 --input_mode text --head_type mlp --hidden_dim 0 --loss_name cross_entropy --focal_gamma 1.5 --patience 2 --label_smoothing 0.0 --grad_clip_norm 1.0 --start_phase 1
541224,tinyllama_u2_mlp_ce_std,incomplete,transformer,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,text,2,mlp,cross_entropy,5,auto,2e-5,1e-4,cache_tokens,fixed_test_csv,1,23358,4122,3534,,,,,,1,,,,tinyllama | text | L2 | mlp | cross_entropy,/home/k/kimsh/cs4248/project/results/slurm_new_541224.log,python -u run_all.py --classifier transformer --model tinyllama --max_length 128 --embed_batch_size 64 --batch_size 32 --eval_batch_size 64 --encoder_lr 2e-5 --classifier_lr 1e-4 --weight_decay 1e-2 --warmup_ratio 0.1 --pooling auto --dropout 0.1 --run_name tinyllama_u2_mlp_ce_std --epochs 5 --unfreeze_layers 2 --input_mode text --head_type mlp --hidden_dim 0 --loss_name cross_entropy --focal_gamma 1.5 --patience 2 --label_smoothing 0.0 --grad_clip_norm 1.0 --start_phase 1
